O_score,C_score,E_score,A_score,N_score,Numerical Aptitude,Spatial Aptitude,Perceptual Aptitude,Abstract Reasoning,Verbal Reasoning,GPA,Career,Cluster
5.89,9.15,7.1,6.45,4.54,6.51,5.69,5.09,6.12,6.97,3.02,Financial Planner,Accounting/Finance
5.75,9.65,6.87,6.58,4.51,6.27,4.64,5.18,5.58,5.59,2.53,Financial Planner,Accounting/Finance
6.36,9.26,7.17,7.34,4.45,6.69,5.76,3.6,5.66,4.96,2.58,Financial Planner,Accounting/Finance
6.33,9.76,6.73,6.48,4.98,5.37,4.34,3.12,5.47,6.24,2.75,Financial Planner,Accounting/Finance
5.95,8.97,7.26,6.84,5.05,5.33,4.24,4.16,5.76,6.55,3.01,Financial Planner,Accounting/Finance
6.63,9.66,6.94,6.96,4.37,5.71,4.77,5.22,5.22,4.68,2.68,Financial Planner,Accounting/Finance
5.82,9.56,7.48,7.05,5.29,5.53,5.25,2.91,5.51,4.68,2.78,Financial Planner,Accounting/Finance
6.11,9.56,6.98,6.91,4.39,6.97,6.2,4.27,6.24,4.23,2.53,Financial Planner,Accounting/Finance
6.62,9.63,7.13,6.35,4.89,5.65,5.87,4.29,5.34,6.65,2.59,Financial Planner,Accounting/Finance
6.09,9.55,6.68,6.67,5.06,7.18,5.91,4.63,5.84,6.4,3.04,Financial Planner,Accounting/Finance
6.31,9.41,6.74,6.86,5.22,5.89,5.17,2.64,5.42,5.74,3.03,Financial Planner,Accounting/Finance
6.78,8.45,3.45,6.45,5.45,7.62,4.95,4.45,6.12,7.45,2.41,Insurance Underwriter,Accounting/Finance
6.98,8.65,3.65,6.65,5.65,7.82,5.15,4.65,6.32,7.65,2.16,Insurance Underwriter,Accounting/Finance
6.78,8.45,3.45,6.45,5.45,5.41,4.08,1.75,5.93,4.68,2.75,Insurance Underwriter,Accounting/Finance
6.98,8.65,3.65,6.65,5.65,5.55,4.22,1.77,6.09,4.82,2.78,Insurance Underwriter,Accounting/Finance
7.79,9.46,4.46,7.46,6.46,6.12,4.79,1.85,6.73,5.39,3.92,Insurance Underwriter,Accounting/Finance
7.99,9.66,4.66,7.66,6.66,6.26,4.93,1.87,6.89,5.53,2.78,Insurance Underwriter,Accounting/Finance
7.33,9.05,4.14,6.74,6.43,6.16,5.1,3.45,6.59,7.29,3.49,Insurance Underwriter,Accounting/Finance
7.4,9.2,4.34,6.9,6.32,6.88,4.72,2.24,6.88,6.61,2.77,Insurance Underwriter,Accounting/Finance
7.37,9.5,4.51,6.72,6.61,7.14,4.96,3.89,6.05,6.26,3.33,Insurance Underwriter,Accounting/Finance
7.59,9.14,3.94,6.54,5.47,6.07,5.03,4.25,6.03,5.64,3.56,Insurance Underwriter,Accounting/Finance
6.95,8.49,3.85,7.18,5.69,6.41,4.32,2.38,6.63,5.67,3.79,Insurance Underwriter,Accounting/Finance
6.82,9.58,4.26,7.26,5.46,5.7,4.31,2.03,6.49,6.67,2.57,Insurance Underwriter,Accounting/Finance
7.15,9.28,4.43,7.2,6.23,5.85,4.73,1.82,6.19,7.63,2.86,Insurance Underwriter,Accounting/Finance
7.63,9.27,4.37,7.01,6.54,7.05,4.52,3.61,6.01,6.65,2.43,Insurance Underwriter,Accounting/Finance
7.02,8.71,4.42,6.91,5.74,5.85,4.98,3.51,6.01,6.34,3.91,Insurance Underwriter,Accounting/Finance
7.59,9.25,3.98,7.49,6.57,6.68,5.04,3.34,6.79,6.85,3.79,Insurance Underwriter,Accounting/Finance
7.95,8.93,4.44,7.08,5.52,7.12,4.46,2.42,6.11,6.06,3.11,Insurance Underwriter,Accounting/Finance
6.89,9.24,3.6,7.03,6.58,5.67,4.33,2.88,6.24,4.86,3.64,Insurance Underwriter,Accounting/Finance
7.59,8.58,4.11,6.48,5.88,6.78,4.92,3.47,6.15,6.35,3.08,Insurance Underwriter,Accounting/Finance
7.32,9.25,3.46,6.86,5.57,6.03,4.37,3.19,6.27,7.52,3.26,Insurance Underwriter,Accounting/Finance
7.23,8.23,8.67,6.45,6.01,7.73,7.56,7.34,6.62,7.34,3.75,Investment Banker,Accounting/Finance
7.43,8.43,8.87,6.65,6.21,7.93,7.76,7.54,6.82,7.54,2.44,Investment Banker,Accounting/Finance
7.23,8.23,8.67,6.45,6.01,5.46,5.35,1.49,6.08,4.91,2.59,Investment Banker,Accounting/Finance
7.43,8.43,8.87,6.65,6.21,5.6,5.49,1.51,6.24,5.05,2.28,Investment Banker,Accounting/Finance
8.24,9.24,9.68,7.46,7.02,6.17,6.06,1.59,6.89,5.61,3.47,Investment Banker,Accounting/Finance
8.44,9.44,9.88,7.66,7.22,6.31,6.2,1.61,7.05,5.75,2.81,Investment Banker,Accounting/Finance
7.6,9.29,9.28,6.52,6.76,5.99,7.24,5.95,6.82,6.49,3.48,Investment Banker,Accounting/Finance
7.55,9.28,9.15,7.39,6.65,5.49,7.5,4.59,6.34,6.44,3.55,Investment Banker,Accounting/Finance
7.67,9.21,8.85,7.01,6.53,6.06,7.65,5.61,6.1,6.88,3.52,Investment Banker,Accounting/Finance
7.34,9.19,9.11,6.52,6.17,7.87,7.25,1.74,6.16,7.04,3.63,Investment Banker,Accounting/Finance
8.36,8.6,8.75,7.65,7.08,7.44,6.11,2,7.02,6.64,2.65,Investment Banker,Accounting/Finance
7.9,8.33,8.7,6.52,6.55,7.83,7.01,5.82,6.37,5.25,3.39,Investment Banker,Accounting/Finance
7.6,8.72,8.83,7.29,6.25,6.66,6.4,1.93,6.83,5.8,2.96,Investment Banker,Accounting/Finance
7.71,8.44,9.84,7.64,6.45,5.73,5.96,1.92,6.69,7.35,3.52,Investment Banker,Accounting/Finance
7.77,9.07,9.33,6.74,6.51,6.81,7.38,1.56,6.45,5.5,3.35,Investment Banker,Accounting/Finance
7.96,8.65,9.84,6.62,7.01,6.58,5.44,7.28,6.28,5.89,3.42,Investment Banker,Accounting/Finance
7.85,9.41,9.19,6.6,6.9,7.55,7.52,5.95,6.2,6.05,3.24,Investment Banker,Accounting/Finance
8.34,9.01,9.05,6.82,6.94,5.7,6.46,3.63,6.68,6.07,2.54,Investment Banker,Accounting/Finance
7.83,9.23,9.28,6.57,6.02,6.67,6.89,3.28,6.83,6.52,3.08,Investment Banker,Accounting/Finance
8.43,8.39,9.2,7.29,6.51,5.83,6.94,3.61,6.7,7.39,3.73,Investment Banker,Accounting/Finance
8.45,7.78,5.67,7.34,6.45,8.12,6.51,6.06,7.45,7.56,3.47,Market Research Analyst,Accounting/Finance
8.45,7.78,5.67,7.34,6.45,5.65,5.36,1.18,6.56,5.69,3.09,Market Research Analyst,Accounting/Finance
9.46,8.79,6.68,8.35,7.46,6.35,6.07,1.28,7.37,6.4,3.73,Market Research Analyst,Accounting/Finance
8.67,8.19,6.56,7.91,6.67,7.7,5.54,1.49,7.06,6.6,3.42,Market Research Analyst,Accounting/Finance
8.96,8.59,6.68,7.91,7.05,6.32,6.06,5.6,6.97,6,3.22,Market Research Analyst,Accounting/Finance
9.3,7.99,6.04,7.95,7.19,6.93,5.52,1.86,7.43,7.46,3.65,Market Research Analyst,Accounting/Finance
9.19,8.34,6.12,8.02,7.46,6.39,6.22,3.78,7.1,7.28,3.65,Market Research Analyst,Accounting/Finance
9,8.52,6.4,8.15,7.39,7.97,6.12,3.19,6.87,6.94,3.65,Market Research Analyst,Accounting/Finance
9.05,8.4,6.57,7.61,7.1,6.29,6.46,2.88,6.66,6.55,3.24,Market Research Analyst,Accounting/Finance
8.96,7.97,6.27,8.17,6.88,6.71,5.44,5.57,6.69,6.46,3.38,Market Research Analyst,Accounting/Finance
8.75,8.14,6.07,7.84,7.09,7.81,5.43,1.29,6.76,6.91,3.72,Market Research Analyst,Accounting/Finance
9.02,8.57,6.09,7.42,7.24,7.73,5.68,4.42,6.78,6.71,3.58,Market Research Analyst,Accounting/Finance
9.15,8.34,6.37,7.4,6.57,6.11,5.66,5.88,7.32,5.81,3.11,Market Research Analyst,Accounting/Finance
9.33,7.79,5.67,7.68,6.86,7.63,5.64,3.91,7.06,6.65,3.13,Market Research Analyst,Accounting/Finance
9.09,8.55,6.3,8.13,7.3,6.78,6.4,5.75,7.03,7.2,3.39,Market Research Analyst,Accounting/Finance
9.22,7.82,6.03,8.05,6.84,6.84,5.65,1.44,6.66,6.55,3.67,Market Research Analyst,Accounting/Finance
8.61,8.53,6.47,8.14,7.03,5.98,5.67,3.22,7.33,5.79,3.43,Market Research Analyst,Accounting/Finance
8.92,7.98,5.76,7.86,7.04,5.85,6.23,2.45,7.2,7.16,3.41,Market Research Analyst,Accounting/Finance
8.46,8.75,6.26,7.78,6.64,7.45,5.88,4.75,6.62,6.07,3.16,Market Research Analyst,Accounting/Finance
8.7,8.15,6.16,7.49,6.82,6.88,6.25,5.97,7.19,6.17,3.51,Market Research Analyst,Accounting/Finance
6.12,7.01,8.67,7.89,5.34,6.57,8.28,7.01,5.73,7.45,2.67,Real Estate Agent,Accounting/Finance
6.12,7.01,8.67,7.89,5.34,4.64,4.79,1.2,5.16,4.64,2.82,Real Estate Agent,Accounting/Finance
7.13,8.02,9.68,8.9,6.35,5.35,5.5,1.3,5.97,5.35,3.37,Real Estate Agent,Accounting/Finance
7.09,7.21,8.68,8.07,5.41,6.39,7.6,1.48,5.9,5.72,2.87,Real Estate Agent,Accounting/Finance
6.33,7.2,9.24,8.61,5.52,5.93,4.85,6.45,5.7,6.01,2.81,Real Estate Agent,Accounting/Finance
6.65,7.91,9.2,8.72,6.2,5.72,8.15,6.15,5.83,6.47,3.03,Real Estate Agent,Accounting/Finance
6.41,7.67,9.4,7.99,5.57,4.85,7.33,5.08,5.87,7.31,2.67,Real Estate Agent,Accounting/Finance
6.92,7.16,9.57,8.13,6.19,5.5,5.85,4.65,5.62,6.33,2.68,Real Estate Agent,Accounting/Finance
6.7,7.45,8.75,8.03,5.62,5.53,7.68,6.38,5.58,6.73,2.82,Real Estate Agent,Accounting/Finance
6.76,7.63,9.41,8.24,5.99,6.31,5.77,2.28,5.51,6.06,2.7,Real Estate Agent,Accounting/Finance
6.93,7.09,8.86,8.34,6.04,5.7,7.84,1.66,5.42,6.42,2.75,Real Estate Agent,Accounting/Finance
6.52,7.9,9.54,8.65,5.86,5.37,5.18,2.59,5.51,4.84,2.91,Real Estate Agent,Accounting/Finance
7.04,7.82,9.5,8.55,5.65,6.53,7.25,5.82,5.79,5.35,3.23,Real Estate Agent,Accounting/Finance
6.66,7.52,9.22,8.52,5.55,4.85,6.68,1.4,5.65,5.66,3.07,Real Estate Agent,Accounting/Finance
6.28,7.99,9.39,8.25,5.37,5.46,5.13,4.59,5.88,5.97,3.03,Real Estate Agent,Accounting/Finance
6.82,7.43,8.99,8.74,5.65,4.72,5.63,6.98,5.52,4.77,2.88,Real Estate Agent,Accounting/Finance
6.92,8,9.15,8.37,6,6.07,4.83,6.17,5.65,5.03,3.32,Real Estate Agent,Accounting/Finance
6.44,7.68,9.5,8.88,6.29,6.41,6.43,4.23,5.67,5.42,2.95,Real Estate Agent,Accounting/Finance
6.99,7.65,9.13,8.53,6.22,5.18,5.84,1.57,5.64,7.37,2.73,Real Estate Agent,Accounting/Finance
7.04,7.18,9.03,8.02,6.11,6.3,6.88,6.03,5.73,5.57,3.1,Real Estate Agent,Accounting/Finance
7.67,9.23,4.23,7.34,6.45,8.45,5.79,5.34,7.06,8.29,2.53,Tax Accountant,Accounting/Finance
7.87,9.43,4.43,7.54,6.65,8.65,5.99,5.54,7.26,8.49,2.15,Tax Accountant,Accounting/Finance
7.67,9.23,4.23,7.34,6.45,5.99,4.68,1.76,6.6,5.3,3.09,Tax Accountant,Accounting/Finance
7.87,9.43,4.43,7.54,6.65,6.13,4.82,1.78,6.76,5.44,2.82,Tax Accountant,Accounting/Finance
8.68,7.6,5.24,8.35,7.46,5.64,5.39,0.8,6.62,6.01,3.04,Tax Accountant,Accounting/Finance
8.88,7.65,5.44,8.55,7.66,5.72,5.53,0.76,6.74,6.15,2.47,Tax Accountant,Accounting/Finance
8.73,9.24,7.44,7.88,7.39,6.06,5.76,5.38,7.24,5.95,2.98,Tax Accountant,Accounting/Finance
8.27,9.36,6.72,7.22,7.48,7.1,5.97,3.43,7.2,7.73,2.57,Tax Accountant,Accounting/Finance
8.52,9.37,7.35,6.09,7.39,5.72,5.06,2.42,7.08,6.53,2.63,Tax Accountant,Accounting/Finance
8.87,9.25,6.98,7.14,7.62,7.16,5.94,3.53,6.95,6.93,2.74,Tax Accountant,Accounting/Finance
7.83,9.31,5.53,5.42,7.45,8.54,5.19,1.43,7.17,6.87,3.02,Tax Accountant,Accounting/Finance
8,9.33,7.41,5.55,7.39,6.8,5.19,2.88,6.69,7.14,2.17,Tax Accountant,Accounting/Finance
8.15,9.31,5.4,7.64,7.35,5.76,5.13,3.75,7.12,8.06,2.6,Tax Accountant,Accounting/Finance
8.18,9.26,6.53,6.16,7.55,5.73,5.39,3.1,6.68,8.43,2.8,Tax Accountant,Accounting/Finance
8.17,9.32,5.58,7.68,7.54,6.81,4.88,2.68,7.12,6.6,2.83,Tax Accountant,Accounting/Finance
8.77,9.39,5.27,7.78,7.45,6.12,5.41,5.51,6.78,7.94,2.8,Tax Accountant,Accounting/Finance
7.73,9.23,7,7.2,7.49,8.31,5.13,3.36,6.85,8.15,3.09,Tax Accountant,Accounting/Finance
8.41,9.25,5.95,8.19,7.47,7.92,5.68,3.74,7.22,7.13,2.43,Tax Accountant,Accounting/Finance
8.04,9.3,6.41,6.09,7.44,7.02,5.77,3.48,6.7,8.35,2.49,Tax Accountant,Accounting/Finance
8.67,9.43,6.63,5.61,7.56,6.51,5.26,3.73,6.91,5.94,2.91,Tax Accountant,Accounting/Finance
8.78,7.67,3.67,6.45,5.34,8.23,5.06,4.51,7.06,7.06,3.88,Biologist,Biology
8.78,7.67,3.67,6.45,5.34,5.7,5.12,1.47,6.69,5.68,2.91,Biologist,Biology
9.79,8.68,4.68,7.46,6.35,6.41,5.83,1.57,7.5,6.39,3.52,Biologist,Biology
9.62,7.78,4.59,7.26,5.34,7.48,5.34,2.67,7.17,6.39,3.37,Biologist,Biology
9.08,8.49,3.99,7.01,5.59,5.71,5.34,3.64,6.7,6.16,2.97,Biologist,Biology
8.79,8.63,4.15,6.98,6.09,6.12,5.1,2.08,7.07,6.19,3.84,Biologist,Biology
9.53,7.74,3.9,6.59,5.66,7.5,5.65,4.18,7.47,5.68,3.82,Biologist,Biology
9.62,8.63,4.32,7.23,5.44,7.39,5.38,2.34,7.11,6.09,3.67,Biologist,Biology
9.53,8.2,4.66,6.72,5.7,8.14,5.69,2.59,7.24,6.57,3.87,Biologist,Biology
8.92,7.97,4.28,6.95,5.61,7.63,5.71,1.65,6.94,7.02,3.44,Biologist,Biology
9.54,7.75,4.03,6.74,6.19,8.11,5.22,1.81,7.32,6.85,3.84,Biologist,Biology
9.56,8.18,4.32,6.59,5.66,7.48,5.57,3.04,7.32,5.71,2.98,Biologist,Biology
9.45,8.47,3.79,7.09,6.14,6.45,5.42,2.28,7.11,6.92,3.26,Biologist,Biology
9.55,8.38,4.57,6.5,6.24,5.97,5.74,4.01,7.48,6.76,3.13,Biologist,Biology
9.63,7.72,4.18,7.21,5.78,7.68,5.23,1.51,6.79,6.76,3.1,Biologist,Biology
9.4,7.74,4.12,6.77,6.26,7.33,5.58,2.62,6.7,6.31,3.05,Biologist,Biology
8.87,8.08,4.26,6.45,5.72,5.82,5.53,2.5,7.31,6.23,3.51,Biologist,Biology
9.27,7.97,4.3,6.97,6.31,6.61,5.29,1.53,7.34,6.1,3.67,Biologist,Biology
8.86,7.9,3.74,6.5,5.43,8.12,5.17,1.85,6.79,5.77,3.47,Biologist,Biology
9.19,7.95,4.36,6.73,6.03,6.97,5.56,2.73,6.91,5.99,3.05,Biologist,Biology
9.23,7.67,4.23,5.12,4.67,8.45,4.68,4.45,6.95,6.4,3.19,Biomedical Researcher,Biology
9.43,7.87,4.43,5.32,4.87,8.65,4.88,4.65,7.15,6.6,3.95,Biomedical Researcher,Biology
9.23,7.67,4.23,5.12,4.67,5.84,5.46,1.67,6.92,5.64,3.54,Biomedical Researcher,Biology
9.43,7.87,4.43,5.32,4.87,5.98,5.6,1.69,7.08,5.78,2.13,Biomedical Researcher,Biology
9.1,8.68,5.24,6.13,5.68,6.2,5.6,1.77,7.15,5.78,2.52,Biomedical Researcher,Biology
8.34,8.88,5.44,6.33,5.88,6.05,5.26,1.79,6.83,5.44,3.74,Biomedical Researcher,Biology
8.52,8.64,4.58,5.63,5.25,7.55,5.56,2.39,7.09,5.73,2.6,Biomedical Researcher,Biology
9.2,8.34,4.6,6.03,4.99,6.72,5.05,3.8,7.13,6.26,2.42,Biomedical Researcher,Biology
9.14,8.15,4.66,5.24,5.02,6.6,5.45,1.94,7,5.94,2.42,Biomedical Researcher,Biology
8.76,7.83,4.98,5.46,5.46,7.52,4.85,2.26,6.89,5.95,2.26,Biomedical Researcher,Biology
